Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2018,2019,,"% Change 1st week March 2019, compared to:",
Sinhala Name,,Common Name,1st week March,4th week February,1st week March,Last week ,Last Year
1,තෝරා,Seer (Nl),1183,1278.57,1150,-0.10055765425436225,-0.027895181741335588
2,පරව් (ලොකු),Trevally (L),421,530,471.43,-0.11050943396226413,0.11978622327790975
3,ගල්මාළු (ලොකු),Rock fish (L),500,433.33,515,0.18847068054369653,0.03
4,තලපත්,Sail fish,597,692,668.33,-0.034205202312138666,0.11948073701842553
5,බලයා,Skipjack tuna,280,365,331.43,-0.091972602739726,0.18367857142857144
6,කෙළවල්ලා,Yellowfin tuna,505,511.43,495.71,-0.030737344309094163,-0.018396039603960437
7,සාලයා (මට්ට),Sardinella,125,150,138.57,-0.07620000000000005,0.10855999999999995
8,මෝරා,Sharks,550,597.14,580,-0.02870348661955318,0.05454545454545454
9,හුරුල්ලා,Herrings,295,349.29,307.14,-0.12067336597096977,0.04115254237288131
10,කුම්බලා,Indian Mackerel,344,409.17,411.43,0.005523376591636706,0.19601744186046513
11,කාරල්ලා,Pony fish,120,100,120,0.2,0
12,කටුවල්ලා,Katuwalla,250,250,257.5,0.03,0.03
13,හාල්මැස්සා,Anchovy,266,228,252.5,0.1074561403508772,-0.05075187969924812
14,ඉස්සා (M),"Prawns (M) 3""",742,825.83,764.29,-0.07451896879503055,0.030040431266846312
15, කොප්පරා,Marlins,720,830,810,-0.024096385542168676,0.125
16,අලගොඩුවා,Frigate tuna,290,253.33,257.5,0.01646074290451185,-0.11206896551724138
17,ඇටවල්ලා,Atawalla,328,350,332,-0.05142857142857143,0.012195121951219513
18,ඇටිස්සා,Red Bream,626,605,535,-0.11570247933884298,-0.14536741214057508
19,බෝල්ලා,Big eye scade,345,431,461.67,0.07116009280742464,0.3381739130434783
20,ගින්නටි පරව්,Ginnati Paraw,545,502.14,504,0.0037041462540327672,-0.07522935779816514
21,හබරලි,Needle fish,407,397,400,0.007556675062972292,-0.0171990171990172
22,හැඩැල්ලා,Indian Anchovies,823,730,775,0.06164383561643835,-0.0583232077764277
23,ජීලාවා,Barracuda,500,528.75,459,-0.13191489361702127,-0.082
24,ලින්නා,Indian Scad,170,218.57,245,0.12092235896966651,0.4411764705882353
25,ලේන පරව්,Rainbow Runner,340,315.83,363,0.14935249976253054,0.06764705882352941
26,සුද්දා,Threadfin  Bream,448,450,413.33,-0.08148888888888893,-0.0773883928571429
27,සූඩයා,White Sardinella,75,118.75,99.29,-0.16387368421052625,0.32386666666666675
28,දැල්ලා,Squids /Cuttle fish,825,670,656.29,-0.020462686567164233,-0.20449696969696973
29,කකුළුවා,Sea Crabs,425,587.5,570,-0.029787234042553193,0.3411764705882353
30,තිලාපියා,Tilapia (M),320,380,350,-0.07894736842105263,0.09375
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,
