"","Table 6.2 : Export Quantity of Fish and Fishery Products ( Mt)","","","","","","","","","","","",""
"Exported Item","1983","1990","1995","2000","2005","2010","2014","2015","2017","2018","2019","2020","2021"
"Shrimps","1,720","1,855","2,781","4,855","1,800","1,262","2,001","1,341","1,845","1,984","2,115","1,781","4,747"
"Lobsters","207","165","283","164","183","166","301","204","224","231","229","99","196"
"Crabs","na","na","898","554","1,012","1,848","1,872","1,710","1,819","1,401","1,818","1,360","1,662"
"Beche de Mer","56","36","248","87","258","178","165","169","150","248","503","326","336"
"Ornamental Fish","na","na","na","na","na","na","na","na","na","na","na","na","na"
"Chank & Shells","144","na","746","698","546","617","343","289","355","329","275","221","306"
"Shark Fins","57","51","127","119","74","69","32","39","53","86","91","55","95"
"Molluscs","na","1","51","15","300","496","2,431","1,371","3,152","3,672","2,590","1,477","2,168"
"Fish Maws","na","na","1","1","1","1","2","2","7","5","4","2","4"
"Food Fish","209","821","1,978","11,873","10,960","13,372","18,658","11,807","16,250","18,031","19,885","13,858","16,130"
"Others","-","-","12","188","851","316","515","529","971","2,011","1,261","2,119","1,105"
"Export Quantity","2,393","2,931","7,126","18,554","15,985","18,325","26,320","17,461","24,827","27,998","28,771","21,298","26,749"
"","Source :  Custom Returns/ Statistics Unit - Ministry of Fisheries","","","","","","","","","","","",""
