--- 01-Wholesale.csv ---

Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Variety,,,2022,2023,,"% Change 2nd week of Mar. 2023, compared to:",, ,,,,,
Sinhala Name,,Common Name,2nd week of Mar.,1st week of Mar.,2nd week of Mar.,Last week ,Last Year,,,,,,
1,තෝරා,Seer (L),1466.67,1870,1666.67,-0.10873262032085558,0.13636332644698534,,,,,,
2,පරව් (ලොකු),Trevally (L),960,1120,1171.43,0.045919642857142916,0.2202395833333334,  ,, , ,,
3,ගල්මාළු (ලොකු),Rock fish (L),891.67,1150,1121.43,-0.02484347826086951,0.25767380308858673, ,, ,,,
4,ගල්මාළු (පොඩි),Rock fish (S),675,887.5,908.33,0.023470422535211314,0.34567407407407413,, ,,, , 
5,තලපත්,Sail fish,1370.83,1340,1307.14,-0.024522388059701417,-0.046460903248396836,,,,,,
6,බලයා,Skipjack tuna,585,620.83,728.57,0.1735418713657523,0.2454188034188035,,,,,,
7,කෙළවල්ලා,Yellowfin tuna,983.33,940,1200,0.2765957446808511,0.22034311980718574, ,,,,,
8,සාලයා (මට්ට),Sardinella,247.14,423.33,425,0.003944912952070527,0.7196730598041596,,,,,,
9,මෝරා,Sharks,687.5,906.25,966.67,0.06667034482758616,0.4060654545454545,,,,,,
10,හුරුල්ලා,Herrings,640,716.67,735.71,0.02656731829154294,0.14954687500000005,,,,,,
11,කුම්බලා,Indian Mackerel,635,837.5,800,-0.04477611940298507,0.25984251968503935,,,,,,
12,කාරල්ලා,Pony fish,253.33,350,350,0,0.38159712627797726,,,,,,
13,කටුවල්ලා,Katuwalla,400,465,483.33,0.03941935483870964,0.20832499999999995,,, ,,,
14,හාල්මැස්සා,Anchovy,325,483.33,475,-0.01723460161794216,0.46153846153846156,,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",1054.17,1541.67,1342.86,-0.12895755901068331,0.2738552605367254,,,,,,
16, කොප්පරා,Marlins,1466,1583.33,1585.71,0.0015031610592865095,0.08165757162346524,, ,,,,
17,අලගොඩුවා,Frigate tuna(L),461.67,625,710,0.136,0.5378950332488573,,,,,,
18,ඇටවල්ලා,Kawakawa,587.5,700,816.67,0.16667142857142853,0.3900765957446808,,, ,,,
19,ඇටිස්සා,Red Bream(L),861,1104.17,1214.29,0.09973101967994048,0.4103252032520325,,,,,,
20,බෝල්ලා,Big eye scade,617.86,787.5,766.67,-0.026450793650793704,0.24084744116790202,,,,,,
21,ගින්නටි පරව්,Ginnati Paraw,780,910,1066.67,0.17216483516483524,0.3675256410256411,, ,,, ,
22,හබරලි,Needle fish,662.5,916.67,892.86,-0.025974451001996298,0.34771320754716983,,,,,,
23,හැඩැල්ලා,Indian Anchovies,1200,1175,1192.86,0.015199999999999915,-0.005950000000000084,, , ,,,
24,ජීලාවා,Barracuda(L),850,1130,1050,-0.07079646017699115,0.23529411764705882,,, ,,,
25,ලින්නා,Indian Scad(L),551.43,685,765,0.11678832116788321,0.38730210543496013,,,,,,
26,ලින්නා,Indian Scad(S),447.5,616,625,0.01461038961038961,0.39664804469273746,,,,,,
27,ලේන පරව්,Rainbow Runner,450,700,714.29,0.020414285714285663,0.587311111111111,,,,,,
28,සුද්දා,Threadfin  Bream,762.5,880,985,0.11931818181818182,0.29180327868852457,,, ,,,
29,සූඩයා,White Sardinella,168.57,320,364.29,0.13840625000000006,1.1610606869549744,,,,,,
30,දැල්ලා,Squids /Cuttle fish,1207.14,1550,1464.29,-0.05529677419354841,0.21302417283827876,,,,,,
31,කකුළුවා(L),Sea Crabs(L),1650,2062.5,1871.43,-0.09263999999999997,0.13420000000000004,,,, ,,
32,තිලාපියා,Tilapia (M),537.5,,,,,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,

--- 02-Retail..csv ---

Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Variety,,,2022,2023,2023,"% Change 2nd week of March. 2023, compared to:",,,
Sinhala Name,,Common Name,Average of 2nd  week of March,Average of 1st  week of March,Average of 2nd  week of March,Last week ,Last Year,,
1,තෝරා,Seer,2240,3325,3313.33,-0.0035097744360902475,0.47916517857142854,,
2,පරව් (ලොකු),Trevally (L),1720,2350,2348,-0.000851063829787234,0.36511627906976746,,
3,ගල්මාළු (ලොකු),Rock Fish (L),1360,2125,2165,0.018823529411764704,0.5919117647058824,,
4,තලපත්,Sail fish,1903.33,2320,2397,0.03318965517241379,0.2593717327000573,,
5,බලයා,Skipjack tuna,1033.33,1420,1428,0.005633802816901409,0.38193994174174767,,
6,කෙළවල්ලා,Yellowfin tuna,1596.67,1975,2104.45,0.06554430379746826,0.3180243882580619,,
7,සාලයා (මට්ට),Sardinella,384,685,715,0.043795620437956206,0.8619791666666666,,
8,මෝරා,Shark,1290,1997,2020,0.011517275913870806,,,
9,හුරුල්ලා,Herrings,800,1062.5,1126,0.05976470588235294,0.4075,,
10,කුම්බලා,Indian mackerel,840,1127,1134,0.006211180124223602,0.35,,
11,කාරල්ලා,Pony fish,,520,530,0.019230769230769232,,,
12,කටුවල්ලා,Katuwalla,560,887.5,910,0.02535211267605634,,,
13,හාල්මැස්සා,Anchovies,573.33,720,710,-0.013888888888888888,,,
14,ඉස්සා (M),Prawns (M),1366.67,1908,2024,0.06079664570230608,0.480971997629274,,
15, කොප්පරා,Marlins,2180,,2780,, ,, 
16,අලගොඩුවා,Frigate tuna,586.66,890,970,0.0898876404494382,0.6534278798622712,,
17,ඇටවල්ලා,Kawakawa,760,1080,1120,0.037037037037037035,0.47368421052631576,,
18,ඇටිස්සා,Red Bream(L),1100,1830,1900,0.03825136612021858,,,
19,බෝල්ලා,Big eye scade,706.67,1035,1083.33,0.04669565217391297,0.5330069197786803,,
20,ගින්නටි පරව්,Ginnati paraw,,1360,1393.33,0.024507352941176418,,,
21,හබරලි,Needle fish,,1120,,,,,
22,හැඩැල්ලා,Indian Anchovy,1370,1660,1690,0.018072289156626505,0.23357664233576642,,
23,ජීලාවා,Barracuda,,1875,2033,0.08426666666666667,,,
24,ලින්නා,Indian Scade,665,905,1024,0.13149171270718232,0.5398496240601504,,
25,ලේන පරව්,Rainbow runner,760,1080,1150,0.06481481481481481,0.5131578947368421,,
26,සුද්දා,Threadfin bream,995,1290,1365,0.05813953488372093,0.37185929648241206,,
27,සූඩයා,White Sardinella,,460,520,0.13043478260869565,,,
28,දැල්ලා,Cuttle fish,1380,2067,2040,-0.013062409288824383,0.4782608695652174,,
29,කකුළුවා,Sea Crabs(L),2226.67,,2210,,,,
30,තිලාපියා,Thilapia (M),700,1100,1120,0.01818181818181818,0.6,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,, ,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
