"","Gross","","","","",""
"","","","","Fishing","",""
"","","Agriculture","","","",""
"Year","Domestic","","","","",""
"","","Sector","","","",""
"","","","Marine","Inland","Total",""
"","Product (GDP)","","","","",""
"2011","7,219,106","637,567","96,627","11,916","","108,543"
"2012","8,732,463","650,510","117,495","13,244","","130,739"
"2013","9,592,125","735,382","137,651","13,460","","151,111"
"2014","10,361,151","829,577","141,987","16,043","","158,030"
"2015","10,951,695","894,780","146,709","15,303","","162,012"
"2016*","11,838,975","890,659","159,064","14,305","","173,369"
"Source:  National Accounts Reports, Department of Census and Statistics","","","","","",""
