Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Variety,,,2022,,2023,"% Change 1st  week of Jan. 2023, compared to:",, ,,,,,
Sinhala Name,,Common Name,1st week of  Jan.,4th week of  Dec.,1st week of  Jan.,Last week ,Last Year,,,,,,
1,තෝරා,Seer (L),1475,1900,1887.5,-0.006578947368421052,0.2796610169491525,,,,,,
2,පරව් (ලොකු),Trevally (L),1006,1360,1250,-0.08088235294117647,0.24254473161033796,  ,, , ,,
3,ගල්මාළු (ලොකු),Rock fish (L),775,1500,1300,-0.13333333333333333,, ,,,,,
4,ගල්මාළු (පොඩි),Rock fish (S),608.33,1080,825,-0.2361111111111111,,,,,, , 
5,තලපත්,Sail fish,1262.5,1792.86,1533.33,-0.14475753823499882,0.21451881188118807,,,,,,
6,බලයා,Skipjack tuna,480,825,712.5,-0.13636363636363635,0.484375,,,,,,
7,කෙළවල්ලා,Yellowfin tuna,851.67,1414.29,1100,-0.222224579117437,0.29158007209365133, ,,,,,
8,සාලයා (මට්ට),Sardinella,240,535.71,403,-0.2477273151518546,0.6791666666666667,,,,,,
9,මෝරා,Sharks,,1110,875,-0.21171171171171171,,,,,,,
10,හුරුල්ලා,Herrings,444.29,721.43,643.33,-0.10825721137185855,0.4479956784982782,,,,,,
11,කුම්බලා,Indian Mackerel,518.33,800,650,-0.1875,0.254027357089113,,,,,,
12,කාරල්ලා,Pony fish,,420,300,-0.2857142857142857,,,,,,,
13,කටුවල්ලා,Katuwalla,,500,562.5,0.125,,,, ,,,
14,හාල්මැස්සා,Anchovy,350,501,353.75,-0.2939121756487026,0.010714285714285714,,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",953.57,1480,1590,0.07432432432432433,0.667418228341915,,,,,,
16, කොප්පරා,Marlins,1412.5,2242.86,2033.33,-0.09342090010076429,0.4395256637168141,, ,,,,
17,අලගොඩුවා,Frigate tuna(L),433.33,800,762.5,-0.046875,0.7596289202224633,,,,,,
18,ඇටවල්ලා,Kawakawa,550,966.67,725,-0.2500025861979786,0.3181818181818182,,, ,,,
19,ඇටිස්සා,Red Bream(L),741.67,1475,1090,-0.26101694915254237,0.46965631615138814,,,,,,
20,බෝල්ලා,Big eye scade,446.67,771.43,605,-0.21574219307001277,0.3544675039738509,,,,,,
21,ගින්නටි පරව්,Ginnati Paraw,483.33,1075,775,-0.27906976744186046,0.6034593342023049,, ,,, ,
22,හබරලි,Needle fish,550,890,804.17,-0.09643820224719106,0.46212727272727266,,,,,,
23,හැඩැල්ලා,Indian Anchovies,1000,1542.86,1250,-0.18981631515497188,0.25,, ,,,,
24,ජීලාවා,Barracuda(L),650,1300,1025,-0.21153846153846154,0.5769230769230769,,, ,,,
25,ලින්නා,Indian Scad(L),497.86,842.86,715,-0.15169779085494628,0.43614670790985416,,,,,,
26,ලින්නා,Indian Scad(S),434,740,620,-0.16216216216216217,0.42857142857142855,,,,,,
27,ලේන පරව්,Rainbow Runner,471,735.71,690,-0.06213045901238264,0.46496815286624205,,,,,,
28,සුද්දා,Threadfin  Bream,556.25,1000,700,-0.3,0.25842696629213485,,,,,,
29,සූඩයා,White Sardinella,154.17,304.29,235,-0.22771040783463148,0.5242913666731531,,,,,,
30,දැල්ලා,Squids /Cuttle fish,1150,1572.86,1450,-0.07811248299276471,0.2608695652173913,,,,,,
31,කකුළුවා(L),Sea Crabs(L),1500,2450,1975,-0.19387755102040816,0.31666666666666665,,,, ,,
32,තිලාපියා,Tilapia (M),,600,,,,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,
