Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2018,2019,,"% Change 4th  week November 2019, compared to:",
Sinhala Name,,Common Name,4th Week November,3rd week November,4th Week November,Last week ,Last Year
1,තෝරා,Seer (Nl),1330,1412.5,1470,0.04070796460176991,0.10526315789473684
2,පරව් (ලොකු),Trevally (L),486,475,600,0.2631578947368421,0.2345679012345679
3,ගල්මාළු (ලොකු),Rock fish (L),450,­,462.5,­,0.027777777777777776
4,තලපත්,Sail fish,621,733.33,700,-0.045450206591848195,0.12721417069243157
5,බලයා,Skipjack tuna,314,360,345.83,-0.03936111111111115,0.1013694267515923
6,කෙළවල්ලා,Yellowfin tuna,506,600,557.5,-0.07083333333333333,0.10177865612648221
7,සාලයා (මට්ට),Sardinella,116,255,230,-0.09803921568627451,0.9827586206896551
8,මෝරා,Sharks,545,643.33,600,-0.06735268058383728,0.10091743119266056
9,හුරුල්ලා,Herrings,245,400,397.5,-0.00625,0.6224489795918368
10,කුම්බලා,Indian Mackerel,261,370,432.86,0.16989189189189194,0.6584674329501916
11,කාරල්ලා,Pony fish,107.5,130,126.67,-0.025615384615384602,0.17832558139534885
12,කටුවල්ලා,Katuwalla,150,­,­,­,­
13,හාල්මැස්සා,Anchovy,­,280,302.5,0.08035714285714286,­
14,ඉස්සා (M),"Prawns (M) 3""",770,1100,1083.33,-0.015154545454545521,0.40692207792207785
15, කොප්පරා,Marlins,832.5,850,976.67,0.14902352941176467,0.17317717717717712
16,අලගොඩුවා,Frigate tuna,270,260,390,0.5,0.4444444444444444
17,ඇටවල්ලා,Atawalla,306.67,390,465,0.19230769230769232,0.5162878664362343
18,ඇටිස්සා,Red Bream,600,637.5,633.33,-0.006541176470588171,0.05555000000000007
19,බෝල්ලා,Big eye scade,223.33,320,375,0.171875,0.6791295392468544
20,ගින්නටි පරව්,Ginnati Paraw,405,650,575,-0.11538461538461539,0.41975308641975306
21,හබරලි,Needle fish,302,412,452,0.0970873786407767,0.4966887417218543
22,හැඩැල්ලා,Indian Anchovies,825,587.5,783.33,0.33332765957446814,-0.05050909090909086
23,ජීලාවා,Barracuda,425,580,650,0.1206896551724138,0.5294117647058824
24,ලින්නා,Indian Scad,212,243,282.86,0.16403292181069964,0.33424528301886797
25,ලේන පරව්,Rainbow Runner,278.75,332,300,-0.0963855421686747,0.07623318385650224
26,සුද්දා,Threadfin  Bream,380,396,401.25,0.013257575757575758,0.05592105263157895
27,සූඩයා,White Sardinella,83.75,158.75,131,-0.17480314960629922,0.564179104477612
28,දැල්ලා,Squids /Cuttle fish,710,816.67,783.33,-0.0408243231660278,0.10328169014084512
29,කකුළුවා,Sea Crabs,450,550,520,-0.05454545454545454,0.15555555555555556
30,තිලාපියා,Tilapia (M),315,310,320,0.03225806451612903,0.015873015873015872
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,
