Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Variety,,,2022,2023,,"% Change 2nd  week of Jan. 2023, compared to:",, ,,,,,
Sinhala Name,,Common Name,2nd week of  Jan.,1st week of  Jan.,2nd week of  Jan.,Last week ,Last Year,,,,,,
1,තෝරා,Seer (L),1121.67,1887.5,2483.33,0.3156715231788079,1.2139577594123045,,,,,,
2,පරව් (ලොකු),Trevally (L),822.14,1250,1400,0.12,0.7028729900017029,  ,, , ,,
3,ගල්මාළු (ලොකු),Rock fish (L),819,1300,1300,0,, ,,,,,
4,ගල්මාළු (පොඩි),Rock fish (S),596.67,825,1116.67,0.35353939393939404,,, ,,, , 
5,තලපත්,Sail fish,1266,1533.33,1628.57,0.062113178506909804,0.286390205371248,,,,,,
6,බලයා,Skipjack tuna,569.29,712.5,771.43,0.0827087719298245,0.35507386393577967,,,,,,
7,කෙළවල්ලා,Yellowfin tuna,766,1100,1325,0.20454545454545456,0.7297650130548303, ,,,,,
8,සාලයා (මට්ට),Sardinella,227.5,403,460.71,0.1432009925558312,1.0250989010989011,,,,,,
9,මෝරා,Sharks,600,875,1000,0.14285714285714285,0.6666666666666666,,,,,,
10,හුරුල්ලා,Herrings,465,643.33,800,0.2435297592215503,0.7204301075268817,,,,,,
11,කුම්බලා,Indian Mackerel,518.5,650,837.5,0.28846153846153844,0.6152362584378014,,,,,,
12,කාරල්ලා,Pony fish,238.75,300,380,0.26666666666666666,,,,,,,
13,කටුවල්ලා,Katuwalla,400,562.5,533.33,-0.051857777777777704,,,, ,,,
14,හාල්මැස්සා,Anchovy,282.5,353.75,478.57,0.35284805653710244,0.6940530973451328,,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",957.14,1590,1510.71,-0.04986792452830186,0.5783584428610236,,,,,,
16, කොප්පරා,Marlins,1480,2033.33,2071.43,0.018737735635632146,0.39961486486486475,, ,,,,
17,අලගොඩුවා,Frigate tuna(L),495,762.5,737.5,-0.03278688524590164,0.4898989898989899,,,,,,
18,ඇටවල්ලා,Kawakawa,563.33,725,891.67,0.22988965517241375,0.5828555198551468,,, ,,,
19,ඇටිස්සා,Red Bream(L),859.17,1090,1380,0.26605504587155965,0.6062013338454556,,,,,,
20,බෝල්ලා,Big eye scade,472.5,605,796.43,0.3164132231404958,0.6855661375661375,,,,,,
21,ගින්නටි පරව්,Ginnati Paraw,626,775,1125,0.45161290322580644,0.7971246006389776,, ,,, ,
22,හබරලි,Needle fish,585,804.17,821.43,0.021463123468918252,0.4041538461538461,,,,,,
23,හැඩැල්ලා,Indian Anchovies,1068.57,1250,1430,0.144,0.3382370832046568,, ,,,,
24,ජීලාවා,Barracuda(L),666,1025,1133.33,0.10568780487804871,0.7016966966966965,,, ,,,
25,ලින්නා,Indian Scad(L),455.71,715,846.43,0.18381818181818174,0.8573873735489675,,,,,,
26,ලින්නා,Indian Scad(S),387.86,620,700,0.12903225806451613,0.8047749187851286,,,,,,
27,ලේන පරව්,Rainbow Runner,488.75,690,821.43,0.19047826086956515,0.6806751918158567,,,,,,
28,සුද්දා,Threadfin  Bream,565,700,1033.33,0.47618571428571416,0.8289026548672566,,,,,,
29,සූඩයා,White Sardinella,127.5,235,312.86,0.33131914893617026,1.4538039215686276,,,,,,
30,දැල්ලා,Squids /Cuttle fish,1075,1450,1414.29,-0.024627586206896576,0.31561860465116276,,,,,,
31,කකුළුවා(L),Sea Crabs(L),1400,1975,2057.14,0.041589873417721454,0.4693857142857142,,,, ,,
32,තිලාපියා,Tilapia (M),,,,,,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,
