--- 01-Wholesale.csv ---

Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Variety,,,2022,2023,,"% Change 2nd week of Aug. 2023, compared to:",, ,,,,,,
Sinhala Name,,Common Name,2nd  week of Aug.,1st  week of Aug.,2nd  week of Aug.,Last week ,Last Year,,, , , ,,
1,තෝරා,Seer (L),2550,2633.3333333333335,2485.714285714286,-0.056057866184448496,-0.025210084033613418,, ,,,,,
2,පරව් (ලොකු),Trevally (L),1987.5,1360,1379.1666666666667,0.014093137254902017,-0.30607966457023056,  , , ,, ,, 
3,ගල්මාළු (ලොකු),Rock fish (L),2000,1533.3333333333333,1166.6666666666667,-0.23913043478260862,-0.41666666666666663, ,, ,,,,
4,ගල්මාළු (පොඩි),Rock fish (S),1566.67,1400,940,-0.32857142857142857,-0.40000127659302853,, ,, , , ,
5,තලපත්,Sail fish,2025,1912.5,1885.7142857142858,-0.014005602240896324,-0.06878306878306875,,,,, ,,
6,බලයා,Skipjack tuna,1141.67,925,907.1428571428571,-0.01930501930501934,-0.20542463483943954,,,,,, ,
7,කෙළවල්ලා,Yellowfin tuna,1725,1362.5,1280,-0.060550458715596334,-0.2579710144927536, ,,,,, ,
8,සාලයා (මට්ට),Sardinella,879.17,566.6666666666666,482.14285714285717,-0.1491596638655461,-0.45159314223317765,,,,,,,
9,මෝරා,Sharks,1500,1000,1083.3333333333333,0.08333333333333326,,,,,, ,,
10,හුරුල්ලා,Herrings,1050,758.3333333333334,625,-0.17582417582417587,-0.40476190476190477,,,,,,,
11,කුම්බලා,Indian Mackerel,1375,987.5,971.4285714285714,-0.016274864376130183,-0.2935064935064935,,,,,,,
12,කාරල්ලා,Pony fish,850,412.5,470,0.1393939393939394,-0.4470588235294118,,,,,,,
13,කටුවල්ලා,Katuwalla,800, ,500,,,,, ,,,,
14,හාල්මැස්සා,Anchovy,800,500,400,-0.2,-0.5,,, ,,,,
15,ඉස්සා (M),"Prawns (M) 3""",1650,1416.6666666666667,1378.5714285714287,-0.026890756302520993,-0.16450216450216446,,,,,,,
16, කොප්පරා,Marlins,2400,2333.3333333333335,2400,0.028571428571428505,0,, ,,,,,
17,අලගොඩුවා,Frigate tuna(L),1025,900,771.4285714285714,-0.14285714285714285,-0.24738675958188153,,,,,,,
18,ඇටවල්ලා,Kawakawa,1237.5,950,878.5714285714286,-0.07518796992481205,-0.29004329004329005,,, ,,,,
19,ඇටිස්සා,Red Bream(L),2300,1366.6666666666667,1300,-0.0487804878048781,-0.43478260869565216,,,,,,,
20,බෝල්ලා,Big eye scade,1316.67,700,887.5,0.26785714285714285,-0.32595107354158603,,,, ,,,
21,ගින්නටි පරව්,Ginnati Paraw,1533.33,1433.3333333333333,1183.3333333333333,-0.1744186046511628,-0.2282591918678084,, ,,, ,,
22,හබරලි,Needle fish,1475,1133.3333333333333,1028.5714285714287,-0.09243697478991582,-0.30266343825665853,,,,,,,
23,හැඩැල්ලා,Indian Anchovies,1545.67,1375,1225,-0.10909090909090909,-0.20746343009827456,, , ,,,,
24,ජීලාවා,Barracuda(L),1610,1400,1283.3333333333333,-0.08333333333333338,-0.20289855072463772,,, ,,,,
25,ලින්නා,Indian Scad(L),1041.67,670.8333333333334,746.4285714285714,0.11268855368234246,-0.2834308644498052,,, ,,,,
26,ලින්නා,Indian Scad(S),931.25,583.3333333333334,642.8571428571429,0.1020408163265306,-0.30968360498561837,,,,,,,
27,ලේන පරව්,Rainbow Runner,1108.33,850,864.2857142857143,0.01680672268907569,-0.2201909952038523,,,,,,,
28,සුද්දා,Threadfin  Bream,1330,1333.33,1175,-0.11874779686949212,-0.11654135338345864,,, ,,,,
29,සූඩයා,White Sardinella,575,516.6666666666666,398,-0.22967741935483865,-0.30782608695652175,,,,,, ,
30,දැල්ලා,Squids /Cuttle fish,1666.67,1780,1640,-0.07865168539325842,-0.01600196799606405,,,,,,,
31,කකුළුවා(L),Sea Crabs(L),2550,2233.3333333333335,2333.3333333333335,0.04477611940298507,-0.08496732026143784,,,, ,,,
32,තිලාපියා,Tilapia (M),500,500,,,-1,,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,,

--- 02-Retail.csv ---

Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2022,2023,2023,"% Change 2nd week of August 2023, compared to:",
Sinhala Name,,Common Name,Average of 2nd week of August,Average of 1st week of August,Average of 2nd week of August,Last week ,Last Year
1,තෝරා,Seer,4000,4050,4132,0.020246913580246915,0.033
2,පරව් (ලොකු),Trevally (L),3130,2807,2896,0.031706448165301035,-0.07476038338658147
3,ගල්මාළු (ලොකු),Rock Fish (L),3080,2213,2120,-0.04202440126525079,-0.3116883116883117
4,තලපත්,Sail fish,3020,3235,3096,-0.04296754250386399,0.025165562913907286
5,බලයා,Skipjack tuna,1870,1607,1680,0.04542626011200996,-0.10160427807486631
6,කෙළවල්ලා,Yellowfin tuna,2860,2632,2576,-0.02127659574468085,-0.0993006993006993
7,සාලයා (මට්ට),Sardinella,1064,830,813.33,-0.02008433734939754,-0.23559210526315785
8,මෝරා,Shark,2020,2167,,,
9,හුරුල්ලා,Herrings,1333.67,1208,1175,-0.027317880794701987,-0.11897245945398792
10,කුම්බලා,Indian mackerel,1698.75,1293,1206.67,-0.06676720804331007,-0.2896718175128771
11,කාරල්ලා,Pony fish,900,,660,,
12,කටුවල්ලා,Katuwalla,,,,,
13,හාල්මැස්සා,Anchovies,,920,906.67,-0.014489130434782654,
14,ඉස්සා (M),Prawns (M),1890,1820,1826.67,0.003664835164835205,-0.03350793650793647
15, කොප්පරා,Marlins,3350,3860,3880,0.0051813471502590676,0.1582089552238806
16,අලගොඩුවා,Frigate tuna,1220,1037,1006.67,-0.029247830279652883,-0.17486065573770496
17,ඇටවල්ලා,Kawakawa,1370,1213,1115,-0.0807914262159934,-0.18613138686131386
18,ඇටිස්සා,Red Bream(L),,1920,,,
19,බෝල්ලා,Big eye scade,1445,980,1160,0.1836734693877551,
20,ගින්නටි පරව්,Ginnati paraw,1977.5,1940,1866.67,-0.03779896907216491,-0.05604551201011374
21,හබරලි,Needle fish,,,,,
22,හැඩැල්ලා,Indian Anchovy,2040,1505,1405,-0.0664451827242525,-0.3112745098039216
23,ජීලාවා,Barracuda,,,2040,,
24,ලින්නා,Indian Scade,1313.33,980,990,0.01020408163265306,-0.2461909801801527
25,ලේන පරව්,Rainbow runner,1455,1130,1198.33,0.060469026548672505,-0.176405498281787
26,සුද්දා,Threadfin bream,1823.33,1390,1440,0.03597122302158273,-0.21023621615396004
27,සූඩයා,White Sardinella,780,633,580,-0.08372827804107424,-0.2564102564102564
28,දැල්ලා,Cuttle fish,1995,1950,1790,-0.08205128205128205,-0.10275689223057644
29,කකුළුවා,Sea Crabs(L),3040,3180,,,
30,තිලාපියා,Thilapia (M),980,1200,1110,,0.1326530612244898
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,
Maharagama and Dematagoda fish markets.,,,,,,,
,,,,,,, 
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,, ,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
