Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Variety,,,2023,2024,,% Change   compared to:2nd week of June 2024,, , ,, ,,,,,
Sinhala Name,,Common Name,2nd  week of June,1st  week of June,2nd  week of June,Last week ,Last Year,,, , , ,,,,
1,තෝරා,Seer (L),2266.67,2860,2966.67,0.037297202797202826,0.30882307526018343,, , ,,,, , ,
2,පරව් (ලොකු),Trevally (L),1520,1437.5,1440,0.0017391304347826088,-0.05263157894736842,  , , , , ,, ,,
3,ගල්මාළු (ලොකු),Rock fish (L),1570,1520,1442.86,-0.050750000000000066,-0.08098089171974529, , , , ,,,,,
4,ගල්මාළු (පොඩි),Rock fish (S),1262.5,1262,1120,-0.11251980982567353,-0.11287128712871287,, ,, , , ,,,
5,තලපත්,Sail fish,2440,2083.33,2135.71,0.02514244022790442,-0.1247090163934426,,,,, ,,,,
6,බලයා,Skipjack tuna,1333.33,1157.14,1032.14,-0.10802495808631625,-0.2258930647326617, ,, ,, , ,,,
7,කෙළවල්ලා,Yellowfin tuna,1742.86,1620,1516.67,-0.06378395061728391,-0.12978093478535271, ,,,,,,,,
8,සාලයා (මට්ට),Sardinella,641.67,571.43,407.14,-0.2875067812330469,-0.36549940000311687,,,,,,,,,
9,මෝරා,Sharks,1400,1033.33,1100,0.06451956296633223,-0.21428571428571427,,, ,, , ,,,
10,හුරුල්ලා,Herrings,1157.14,950,889.29,-0.06390526315789477,-0.2314758801873586,,,,,,,,,
11,කුම්බලා,Indian Mackerel,1391.67,1264.29,1100,-0.1299464521589192,-0.20958273153836762,,,,,,,,,
12,කාරල්ලා,Pony fish,350,366.67,375,0.022717975291133674,0.07142857142857142,,,,,,,,,
13,කටුවල්ලා,Katuwalla,900,875,700,-0.2,-0.2222222222222222,,, ,,,,,,
14,හාල්මැස්සා,Anchovy,675,600,650,0.08333333333333333,-0.037037037037037035,,, ,,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",1375,1471.43,1564.29,0.06310867659351779,0.1376654545454545,,,,,,,,,
16, කොප්පරා,Marlins,2785.71,2533.33,2457.14,-0.03007503957242051,-0.11794838658726148,, ,,,,,,,
17,අලගොඩුවා,Frigate tuna(L),1025,1050,870.83,-0.1706380952380952,-0.15040975609756094,,,,,,,,,
18,ඇටවල්ලා,Kawakawa,1285.71,1320,1064.29,-0.193719696969697,-0.17221612960932098,,, ,,,,,,
19,ඇටිස්සා,Red Bream(L),1460,1575,1560,-0.009523809523809525,0.0684931506849315,,,,,,,,,
20,බෝල්ලා,Big eye scade,1325,1137.5,962.5,-0.15384615384615385,-0.27358490566037735,,,, ,,,,,
21,ගින්නටි පරව්,Ginnati Paraw,1550,1533.33,1350,-0.1195633033984856,-0.12903225806451613,, ,,, ,,,,
22,හබරලි,Needle fish,1300,1258.33,1207.14,-0.04068090246596666,-0.07143076923076916,,, ,,,,,,
23,හැඩැල්ලා,Indian Anchovies,1725,1616.67,1207.14,-0.2533170034700959,-0.30020869565217384,, , , , ,,,,
24,ජීලාවා,Barracuda(L),1660,1525,1450,-0.04918032786885246,-0.12650602409638553,,, ,,,,,,
25,ලින්නා,Indian Scad(L),1107.14,1191.67,862.5,-0.2762258007669909,-0.22096573152446852,,, ,,,,,,
26,ලින්නා,Indian Scad(S),1000,900,745,-0.17222222222222222,-0.255,,,,  ,,,,,
27,ලේන පරව්,Rainbow Runner,1225,1030,750,-0.27184466019417475,-0.3877551020408163,,,,,,,,,
28,සුද්දා,Threadfin  Bream,1380,1333.33,1370,0.027502568756421947,-0.007246376811594203,,, ,,,,,, 
29,සූඩයා,White Sardinella,466.67,412.5,312.5,-0.24242424242424243,-0.330361925986243,,,,,, , ,,
30,දැල්ලා,Squids /Cuttle fish,1750,1716.67,1580,-0.07961343764381044,-0.09714285714285714,,,,,,,,,
31,කකුළුවා(L),Sea Crabs(L),2071.43,2140,2250,0.0514018691588785,0.08620614744403633,,,, ,,,,,
32,තිලාපියා,Tilapia (M),716.67,700,,,,,,,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,,,,
