"","Table 5.3.2:  Stocking of Post Larvae (Litopenaeus Vannamei )","","","","","","","","",""
"District","Area (Ha)","2008","2009","2010","2011","2019","2020","2021","2022","2023"
"","No. of Farms","697","1,128","777","925","-","na","795","784","943"
"","No. of Ponds","2,203","3,055","2,406","3,088","-","758","2,224","2,258","2,567"
"Puttalam","","","","","","","","","",""
"","Area (Ha)","1,098.0","1,386.0","1,202.0","1,590.7","-","416.5","1,141.8","1,082.1","1,325.9"
"","Stocking (Mn)","178.0","247.0","209.0","264.0","-","152.9","492.5","563.5","521.2"
"","No. of Farms","-","-","-","-","-","2","3","3","3"
"","No. of Ponds","-","-","-","-","-","21","51","48","56"
"Batticaloa","","","","","","","","","",""
"","Area (Ha)","-","-","37.9","51.5","-","9.6","22.6","15.0","12.9"
"","Stocking (Mn)","-","-","10.8","16.5","-","9.4","17.9","28.3","48.0"
"","No. of Farms","-","-","-","-","1","2","2","4","4"
"","No. of Ponds","-","-","-","-","23","26","26","35","51"
"Mannar","","","","","","","","","",""
"","Area (Ha)","-","-","-","-","21.9","23.5","23.5","31.6","35.6"
"","Stocking (Mn)","-","-","-","-","36.6","25.1","72.7","50.0","46.0"
"Hambantota","No. of Farms","","","","","","","","1.0","1"
"","No. of Ponds","","","","","","","","15.0","15"
"","Area (Ha)","","","","","","","","7.2","7.2"
"","Stocking (Mn)","","","","","","","","7.2","9.0"
"Nandikadal","","","","","","","","","",""
