Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Variety,,,2022,2023,,"% Change1st week of Aug. 2023, compared to:",, ,,,,,,
Sinhala Name,,Common Name,1st  week of Aug.,4th  week of July,1st  week of Aug.,Last week ,Last Year,,, , , ,,
1,තෝරා,Seer (L),2437.5,3066.67,2633.3333333333335,-0.14130528118991173,0.0803418803418804,, ,,,,,
2,පරව් (ලොකු),Trevally (L),1628.75,1390,1360,-0.02158273381294964,-0.16500383729854182,  , , ,, ,, 
3,ගල්මාළු (ලොකු),Rock fish (L),1825,1450,1533.3333333333333,0.05747126436781604,-0.15981735159817356, ,, ,,,,
4,ගල්මාළු (පොඩි),Rock fish (S),1566.67,1100,1400,0.2727272727272727,-0.10638488003217018,, ,,, , ,
5,තලපත්,Sail fish,1932.14,1814.29,1912.5,0.05413136819361846,-0.010164894883393593,,,,, ,,
6,බලයා,Skipjack tuna,1028.57,935.71,925,-0.011445853950476148,-0.10069319540721579,,,,,, ,
7,කෙළවල්ලා,Yellowfin tuna,1700,1457.14,1362.5,-0.06494914695911175,-0.19852941176470587, ,,,,, ,
8,සාලයා (මට්ට),Sardinella,787.5,557.14,566.6666666666666,0.01709923298751955,-0.28042328042328046,,,,,,,
9,මෝරා,Sharks,1400,1400,1000,-0.2857142857142857,,,,,, ,,
10,හුරුල්ලා,Herrings,1018.75,725,758.3333333333334,0.04597701149425293,-0.25562372188139054,,,,,,,
11,කුම්බලා,Indian Mackerel,1150,1164.29,987.5,-0.15184361284559686,-0.14130434782608695,,,,,,,
12,කාරල්ලා,Pony fish,775,440,412.5,-0.0625,-0.46774193548387094,,,,,,,
13,කටුවල්ලා,Katuwalla,,675, ,,,,, ,,,,
14,හාල්මැස්සා,Anchovy,650,480,500,0.041666666666666664,-0.23076923076923078,,,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",1375,1400,1416.6666666666667,0.01190476190476196,0.03030303030303036,,,,,,,
16, කොප්පරා,Marlins,2185.71,2475,2333.3333333333335,-0.05723905723905718,0.06754021957777265,, ,,,,,
17,අලගොඩුවා,Frigate tuna(L),1016.67,950,900,-0.05263157894736842,-0.11475700079671866,,,,,,,
18,ඇටවල්ලා,Kawakawa,1080,1060,950,-0.10377358490566038,-0.12037037037037036,,, ,,,,
19,ඇටිස්සා,Red Bream(L),1780,1640,1366.6666666666667,-0.16666666666666663,-0.2322097378277153,,,,,,,
20,බෝල්ලා,Big eye scade,1150,1120,700,-0.375,-0.391304347826087,,,, ,,,
21,ගින්නටි පරව්,Ginnati Paraw,1437.5,1470,1433.3333333333333,-0.024943310657596425,-0.0028985507246377337,, ,,, ,,
22,හබරලි,Needle fish,1270,1335.71,1133.3333333333333,-0.15151242909513798,-0.1076115485564305,,,,,,,
23,හැඩැල්ලා,Indian Anchovies,1425,1416.67,1375,-0.029414048437533136,-0.03508771929824561,, , ,,,,
24,ජීලාවා,Barracuda(L),1675,1460,1400,-0.0410958904109589,-0.16417910447761194,,, ,,,,
25,ලින්නා,Indian Scad(L),1015.71,771.43,670.8333333333334,-0.1304028449330031,-0.33954245470327815,,,,,,,
26,ලින්නා,Indian Scad(S),975,600,583.3333333333334,-0.027777777777777714,-0.40170940170940167,,,,,,,
27,ලේන පරව්,Rainbow Runner,1045,935.71,850,-0.09159889281935646,-0.18660287081339713,,,,,,,
28,සුද්දා,Threadfin  Bream,1100,1220,1333.33,0.09289344262295075,0.21211818181818176,,, ,,,,
29,සූඩයා,White Sardinella,600,433.33,516.6666666666666,0.1923168639758767,-0.13888888888888895,,,,,, ,
30,දැල්ලා,Squids /Cuttle fish,1600,1720,1780,0.03488372093023256,0.1125,,,,,,,
31,කකුළුවා(L),Sea Crabs(L),2900,2262.5,2233.3333333333335,-0.012891344383057023,-0.2298850574712643,,,, ,,,
32,තිලාපියා,Tilapia (M),500,,500,,0,,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,,
