Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Variety,,,2025,2026,,% Change   compared to:1st week of Apr. 2026,, 
Sinhala Name,,Common Name,1st week of Apr.,4th week of Mar.,1st week of Apr.,Last week ,Last Year,
1,තෝරා,Seer (Ni-L),1420,1691.6666666666667,2066.6666666666665,0.2216748768472905,0.45539906103286376,
2,පරව් (ලොකු),Trevally (L),992.8571428571429,1083.3333333333333,1141.6666666666667,0.05384615384615399,0.14988009592326143,  
3,ගල්මාළු (ලොකු),Rock fish (L),1200,1100,1225,0.11363636363636363,0.020833333333333332, 
4,ගල්මාළු (පොඩි),Rock fish (S),800,783.3333333333334,1083.3333333333333,0.38297872340425515,0.3541666666666666,
5,තලපත්,Sail fish,1450,1350,1666.6666666666667,0.23456790123456794,0.14942528735632188,
6,බලයා,Skipjack tuna,808.3333333333334,814.2857142857143,945.8333333333334,0.16154970760233917,0.17010309278350513, 
7,කෙළවල්ලා,Yellowfin tuna,1200,1107.142857142857,1308.3333333333333,0.18172043010752684,0.09027777777777772, 
8,සාලයා (මට්ට),Sardinella,318.57,395.8333333333333,600,0.5157894736842106,0.8834165175628591,
9,මෝරා,Sharks,933.3333333333334,1250,1200,-0.04,0.28571428571428564,
10,හුරුල්ලා,Herrings,871.4285714285714,891.6666666666666,1100,0.23364485981308417,0.2622950819672131,
11,කුම්බලා,Indian Mackerel,839.2857142857143,966.6666666666666,1162.5,0.20258620689655177,0.38510638297872335,
12,කාරල්ලා,Pony fish,262.5,290,287.5,-0.008620689655172414,0.09523809523809523,
13,කටුවල්ලා,Katuwalla,375,500,450,-0.1,0.2,
14,හාල්මැස්සා,Anchovy,291.6666666666667,410,450,0.0975609756097561,0.5428571428571427,
15,ඉස්සා (M),"Prawns (M) 3""",1985.7142857142858,2028.5714285714287,2516.6666666666665,0.24061032863849752,0.2673860911270982,
16, කොප්පරා,Marlins,1700,1521.4285714285713,1850,0.21596244131455408,0.08823529411764706,
17,අලගොඩුවා,Frigate tuna(L),650,650,975,0.5,0.5,
18,ඇටවල්ලා,Kawakawa,940,964.2857142857143,1066.6666666666667,0.10617283950617286,0.13475177304964547,
19,ඇටිස්සා,Red Bream(L),1120.8333333333333,1350,1300,-0.037037037037037035,0.1598513011152417,
20,බෝල්ලා,Big eye scade,880,892.8571428571429,,,,
21,ගින්නටි පරව්,Ginnati Paraw,868.75,1200,1300,0.08333333333333333,0.49640287769784175,
22,හබරලි,Needle fish,870,966.6666666666666,1075,0.11206896551724142,0.23563218390804597, 
23,හැඩැල්ලා,Indian Anchovies,1320,1375,1600,0.16363636363636364,0.21212121212121213,
24,ජීලාවා,Barracuda(L),950,1008.3333333333334,1133.3333333333333,0.12396694214876021,0.1929824561403508,
25,ලින්නා,Indian Scad(L),740.7142857142857,750,904.1666666666666,0.2055555555555555,0.22066859530697527,
26,ලින්නා,Indian Scad(S),600,592.8571428571429,720,0.21445783132530113,0.2,
27,ලේන පරව්,Rainbow Runner,700,700,766.6666666666666,0.09523809523809518,0.09523809523809518,
28,සුද්දා,Threadfin  Bream,866.6666666666666,1010,1200,0.18811881188118812,0.3846153846153847,
29,සූඩයා,White Sardinella,252.85714285714286,294,450,0.5306122448979592,0.7796610169491525, 
30,දැල්ලා,Squids /Cuttle fish(Peeli),1750,1692.857142857143,1716.6666666666667,0.014064697609001432,-0.019047619047619004,
31,කකුළුවා(L),Sea Crabs(L),2000,2510,2250,-0.10358565737051793,0.125,
32,තිලාපියා,Tilapia (M),550,400,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,
