Table 2.1:  Imported Quantity of Fish and Fishery Products (Mt),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82
Table 3.1:  Value of Imported Fish and Fishery Products (Rs.Mn),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,2014,2015,2016,2017,2018(4),2019(4),2020,   2020   JAN,   2020   FEB,   2020   MAR,   2020    APR,   2020    MAY,   2020    JUN,   2020    JUL,   2020    AUG,   2020   SEP,    2020    OCT,    2020    NOV,    2020    DEC,2020,2020  (JAN-DEC),   2021  JAN,   2021   FEB,   2021    MAR,   2021   APR,   2021   MAY,  2021   JUN,   2021   JUL,   2021   AUG,   2021   SEP,   2021   OCT,   2021    NOV,   2021   DEC,2021, 2021   Jan-Dec,     2022    JAN,    2022    FEB,    2022    MAR,    2022    APR,    2022    MAY,    2022   JUN,   2022   JUL,   2022   AUG,   2022   SEP,   2022   OCT,   2022   NOV,   2022   DEC,2022, 2022  Jan-Dec,    2023   JAN,   2023   FEB, 2023 MAR, 2023 APR,2023 MAY, 2023 JUN, 2023 JUL, 2023 AUG, 2023 SEP, 2023 OCT, 2023 NOV, 2023 DEC,2023, 2023  Jan-Jan, 2024   JAN, 2024     FEB,2024   MAR,2024   APR, 2024    MAY,2024    JUN,2024    JUL,2025    AUG,2024   SEP,2024   OCT,2024   NOV,2024   DEC,2024, 2024  Jan-Jan, 2025   JAN, 2025  Jan-Jan,  Change %  2025/2023,  Change %  2025/2024,Percentage to Total
Dried Fish,2440.7795530000003,2357.2555180599998,3416.1045603400003,3807.79578,4217.654639,5257.2873899999995,6353.206005,442.621962,317.811145,393.33141,506.505901,437.93646,702.230962,718.168106,730.658572,676.887211,559.524212,611.471944,256.05812,6353.206005,6353.206005,204.891547,116.217049,219.026482,593.826754,465.515914,387.624581,1019.36619,414.497649,424.310603,344.992363,277.683508,403.101525,4871.0541650000005,4871.0541650000005,314.011996,348.045615,366.242541,276.710252,341.472202,217.438022,215.36611,289.715686,373.915642,333.924354,208.686578,184.451323,3469.980321,3469.980321,195.711674,212.861806,138.742604,158.861046,338.291856,284.892904,480.225541,472.993801,264.046113,368.307026,298.244905,297.580608,3510.759884,195.711674,245.341024,238.137653,347.057503,388.889879,452.297028,633.70555,484.743954,563.609133,439.358536,425.498265,687.385804,424.548556,5330.572885,245.341024,531.345358,531.345358,171.49395186308612,116.57419918488642,15.217054590742258
Dried Sprats,5863.618722999999,7152.593688999999,9036.9923555,9368.691663,9374.649756190001,9520.754661,10926.718608,642.878514,909.653681,1044.083355,1292.960603,1165.426385,1425.907188,869.003603,374.971471,665.315559,555.962707,485.744374,1494.811168,10926.718608000001,10926.718608000001,1011.992087,457.950406,597.065515,394.750009,528.30303,709.017103,1162.38379,1088.270266,816.693204,1182.658797,723.268921,446.54021,9118.893338,9118.893338,385.276898,604.770244,905.936991,1176.840117,1377.475565,962.534373,694.566409,576.731693,543.016461,714.00182,1301.454887,712.853713,9955.459171,9955.459171,517.015816,580.43124,658.211557,386.343739,1051.340031,1110.673074,877.20239,629.174887,355.945062,877.098172,947.343291,1020.162703,9010.941962,517.015816,1503.03903,1303.0444,1317.745998,552.783227,1108.194179,2128.969857,656.801517,559.154571,301.176328,1541.252482,2275.279092,1362.539045,14609.979726000001,1503.03903,1851.610089,1851.610089,258.13412891802136,23.191084997972418,53.027755641147664
Maldive fish,646.6040899999999,1658.35257022,1993.8481,1624.212214,1528.0421973400003,1668.372523,1923.729326,133.614595,143.173535,157.264381,83.048855,159.075764,76.548646,225.855066,304.08172,245.363608,172.445992,140.483307,82.773857,1923.729326,1923.729326,143.010389,74.239113,243.837614,216.704257,74.636934,37.206138,115.388827,130.066046,30.716869,151.15984,96.246734,140.106591,1453.3193520000002,1453.3193520000002,98.097234,50.395571,110.813797,72.844015,42.078406,38.083411,81.573719,97.748533,94.601956,85.540507,79.79333,74.138584,925.709063,925.709063,92.821383,110.164297,90.010787,65.180065,68.788583,29.000288,63.061421,73.97069,82.126047,123.801035,79.577688,47.105498,925.6077819999999,92.821383,65.387883,74.806069,93.374657,83.1779,107.602667,45.60685,46.539945,162.001382,250.987799,204.109456,146.719308,141.84033,1422.1542459999998,65.387883,152.132618,152.132618,63.89824529979262,132.66178842339949,4.35688449759363
Canned Fish,5092.198891999999,11918.761415999998,9638.225181,9605.574855,8615.929668,13650.557222,10764.337708,1020.214766,389.004119,1286.194599,1219.804625,1718.766632,1748.030031,1144.154032,530.6183,429.914018,548.679991,323.649696,405.306899,10764.337708,10764.337708,688.087038,146.75005,88.92603,130.937871,513.121266,379.456958,468.847977,667.316113,426.270121,241.480963,468.405278,671.359295,4890.95896,4890.95896,328.427161,157.449887,29.482477,341.473762,327.266916,351.110915,247.982805,208.193406,164.750022,237.801906,88.522276,189.466626,2671.9281590000005,2671.9281590000005,347.984685,181.696373,111.928991,170.719163,194.188397,134.929827,477.355464,876.544821,644.242613,1168.096632,1175.028978,689.887574,6172.603518000001,347.984685,339.765622,561.597697,103.818037,898.141952,167.284347,117.323617,135.135696,421.743696,70.791572,0.654372,500.271596,1.319091,3317.8472949999996,339.765622,42.470783,42.470783,-87.79521489573601,-87.49997638077699,1.2163091550384224
Food fish,4356.755496,6763.7629022,10110.62955334,8604.74907857,7322.68758512,7410.591563,4658.603794,814.097354,317.01289,375.789687,458.649312,147.912274,241.53082,617.402785,367.762663,529.42451,238.152386,374.092563,176.77655,4658.603794,4658.603794,194.778176,211.528517,221.886955,254.764555,283.016175,360.155062,218.835152,633.844047,203.201377,217.756069,244.363369,357.239172,3401.368626,3401.368626,332.781217,400.594992,121.226082,237.379355,186.931142,147.662117,89.767304,42.298817,74.136909,204.898291,205.223206,64.951528,2107.85096,2107.85096,93.080304,90.317996,55.578252,76.771911,101.908393,254.034099,363.017107,757.013817,139.091559,311.385446,393.929977,108.030908,2744.1597690000003,93.080304,186.754363,285.249859,290.195146,392.647449,275.14948,442.017745,946.78332,607.763315,457.996899,387.162794,349.812868,564.328704,5185.8619419999995,186.754363,448.968355,448.968355,382.3451747643626,140.405818524304,12.857882100008386
Live fish,117.523067,196.81875526,214.78843461000002,333.62701179,257.407716,287.572027,174.919406,47.219416,27.811693,13.946442,0,0,7.612047,9.574465,14.597277,17.821638,12.451476,13.948426,9.936526,174.91940600000004,174.91940600000004,16.156225,24.317798,18.579621,10.319482,19.862565,14.932759,19.482985,18.628656,24.887597,20.49804,30.755829,34.580916,253.00247300000004,253.00247300000004,25.024314,19.438843,26.601267,51.394122,26.514418,64.782334,20.975543,37.029086,37.929744,35.586391,37.459711,47.292884,430.028657,430.028657,26.941056,51.569949,37.406455,13.503704,36.267139,18.385263,36.958781,28.071196,21.740089,31.136164,29.404039,37.168813,368.55264800000003,26.941056,33.777701,16.591019,31.299577,26.647854,66.365881,69.266179,24.956928,53.244318,32.726406,62.602302,31.821986,36.46713,485.76728099999997,33.777701,24.0663,24.0663,-10.67053941760858,-28.750923575290106,0.6892281928944232
Other,342.46071,681.096141,761.6816415100001,624.806307,1410.013024659991,1157.2691980000018,702.803783,184.234902,61.269886,36.718468,49.358933,40.143261,13.605596,33.581747,33.710281,55.839215,99.48582,42.495105,52.360569,702.8037830000001,702.8037830000001,70.447145,59.580985,51.303366,77.402107,134.920828,350.906997,30.418267,61.401351,35.764916,45.165948,96.345345,77.763526,1091.4207809999998,1091.4207809999998,300.863399,98.534175,143.969314,193.041482,185.560688,258.152431,101.68148,178.640759,120.864146,39.532943,313.508329,168.865783,2103.214929,2103.214929,244.166554,286.718463,144.991132,151.008183,111.248629,104.523614,125.494117,401.346812,653.330401,570.683127,737.982116,469.622567,4001.1157150000004,244.166554,434.417636,1024.108205,798.398218,621.143433,845.863957,655.334711,342.212248,303.815286,244.784109,333.327065,315.587564,400.559677,6319.552109000001,434.417636,441.181826,441.181826,80.68888583323334,1.5570707631215932,12.634885822575212
Total,18859.940530999997,30728.64099174,35172.2698263,33969.45690936,32726.384586309996,38952.404584,35504.31863,3284.8815090000003,2165.736949,3307.328342,3610.3282289999997,3669.260776,4215.46529,3617.7398040000003,2356.4002840000003,2620.5657589999996,2186.702584,1991.8854149999997,2478.0236889999996,35504.31863,35504.31863,2329.362607,1090.583918,1440.6255830000002,1678.7050350000004,2019.3767120000002,2239.299598,3034.7231880000004,3014.0241279999996,1961.8446870000002,2203.71202,1937.0689839999998,2130.6912350000002,25080.017695000002,25080.017695000002,1784.482219,1679.229327,1704.272469,2349.683105,2487.299337,2039.763603,1451.91337,1430.3579800000002,1409.21488,1651.286212,2234.648317,1442.020441,21664.17126,21664.17126,1517.721472,1513.760124,1236.869778,1022.387811,1902.033028,1936.439069,2423.314821,3239.116024,2160.521884,3450.507602,3661.510994,2669.558671,26733.741278,1517.721472,2808.483259,3503.534902,2981.889136,2963.431694,3022.757539,4092.224509,2637.173608,2671.331701,1797.821649,2954.606736,4306.878218,2931.602533,36671.735484000004,2808.483259,3491.775329,3491.775329,130.06693872484135,24.32957603754048,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4.1:  Exported Quantity of Fish and Fishery Products (Mt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,2014,2015 (3),2016 (3),2017,2018,2019,2020,   2020   JAN,   2020   FEB,   2020   MAR,   2020    APR,   2020    MAY,   2020    JUN,   2020    JUL,   2020    AUG,   2020   SEP,    2020    OCT,    2020    NOV,    2020    DEC,2020,2020  (JAN-DEC),   2021  JAN,   2021   FEB,   2021    MAR,   2021   APR,   2021   MAY,  2021   JUN,   2021   JUL,   2021   AUG,   2021   SEP,   2021   OCT,   2021    NOV,   2021   DEC,2021, 2021   Jan-Dec,     2022    JAN,    2022    FEB,    2022    MAR,    2022    APR,    2022    MAY,    2022   JUN,   2022   JUL,   2022   AUG,   2022   SEP,   2022   OCT,   2022   NOV,   2022   DEC,2022, 2022  Jan-Dec,    2023   JAN,   2023   FEB, 2023 MAR, 2023 APR,2023 MAY, 2023 JUN, 2023 JUL, 2023 AUG, 2023 SEP, 2023 OCT, 2023 NOV, 2023 DEC,2023, 2023  Jan-Jan, 2024   JAN, 2024     FEB,2024   MAR,2024   APR, 2024    MAY,2024    JUN,2024    JUL,2025    AUG,2024   SEP,2024   OCT,2024   NOV,2024   DEC,2024, 2024  Jan-Jan, 2025   JAN, 2025  Jan-Jan,  Change %  2025/2023,  Change %  2025/2024,Percentage to Total
Live fish (2),na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na 
Prawns,2001.2790000000002,1340.87685,1666.9001240000002,1844.49075,1983.8250300000002,2115.2169400000002,1780.5468,116.55954000000001,123.31506000000003,92.63408000000001,18.78874,80.37404999999998,212.70761999999996,212.32894,213.05392,118.59023000000002,126.38591999999998,232.83534999999998,232.97335,1780.5467999999998,1780.5467999999998,286.34131999999994,291.65354,280.9035,188.70209999999997,116.10629000000003,240.00656999999998,536.6361800000001,515.09307,821.964,506.3377300000001,565.0916100000001,398.11583,4746.95174,4746.95174,441.90068999999994,424.01449999999994,463.439,454.8228199999999,305.68317,973.9722400000002,731.1397999999998,482.18405,375.57033000000007,288.42037,295.19425,250.08723999999998,5486.42846,5486.42846,217.49586999999997,267.19605,373.00383000000005,383.27735,504.7493200000001,311.3162500000001,210.89214,281.76951499999996,392.93659,314.21724,417.38196999999997,345.34058,4019.576705,217.49586999999997,308.23393999999996,380.99253000000004,375.63055,271.05993000000007,225.38839000000002,258.9131,307.75183999999996,225.32446,257.09038,372.1094299999999,236.62955,212.76287,3431.8869700000005,308.23393999999996,141.03255,141.03255,-35.1562169893157,-54.244964068525356,8.292523444814828
Lobsters (4),300.581,204.39748,174.99682,224.39643999999998,231.49798,229.16116,99.34371,22.27761,0.018,3.61805,4.6158,6.56129,15.19907,4.82784,6.5646,0.68701,1.05703,10.77246,23.144949999999998,99.34370999999999,99.34370999999999,32.80968,9.50141,20.00583,25.3335,10.59777,18.07507,7.693020000000001,7.69393,10.04383,0.6001000000000001,28.41032,25.473799999999997,196.23825999999997,196.23825999999997,17.090549999999997,2.9064,9.90814,8.554170000000001,8.11454,10.853919999999999,3.7841199999999997,4.50008,0.141,0,26.615419999999997,21.449250000000003,113.91759,113.91759,12.658600000000002,1.59971,17.68427,17.032120000000003,9.28808,6.05811,5.2594899999999996,3.69361,6.339700000000001,0,33.16195999999999,14.000620000000003,126.77627000000001,12.658600000000002,12.601560000000001,2.22998,9.45499,9.52985,4.28013,5.83062,2.43393,4.80487,7.861440000000001,1.09422,4.938020000000001,17.13407,82.19368,12.601560000000001,5.80183,5.80183,-54.16689049341951,-53.95943041972582,0.34113976736455526
Crabs,1872.4490000000003,1709.6114800000003,2117.15499,1819.23406,1400.5223079999998,1817.88852,1360.50044,153.71721,122.75998999999999,111.46534,42.547880000000006,82.43755999999999,140.9445,101.47709,59.695859999999996,146.25782,136.98918,142.22067,119.98734000000002,1360.5004399999998,1360.5004399999998,184.42882,124.24641000000001,146.78822,157.54318000000004,151.04530999999997,129.53879000000003,178.39846999999997,73.51859999999999,88.13051000000002,98.50509,182.88201000000004,147.34419,1662.3696,1662.3696,115.79457,100.76194,149.02059,198.23685999999998,148.5805,145.93635000000003,115.08419,147.24353000000002,146.83262,215.46138,166.47983000000002,200.02845000000002,1849.46081,1849.46081,116.95006,162.58495000000002,153.74218,177.86265,134.83332000000001,144.00061000000002,109.24588,92.27761,80.25967,129.57251000000002,216.08953999999997,160.23908,1677.65806,116.95006,167.20679,184.99845000000002,134.85052,190.10067,170.74083000000002,142.78193000000002,88.69002,139.45073000000002,187.73596000000003,277.37369,280.22788,222.56726999999995,2186.7247399999997,167.20679,164.17269,164.17269,40.37845726628956,-1.814579419890797,9.653132421014273
Beche de mer,164.555,169.2616,136.1737,150.35972,247.53267000000002,502.723,326.32905,19.427199999999996,29.6418,9.9076,1.0899,16.29682,40.0916,46.456520000000005,48.27936999999999,23.28715,43.93145,27.48909,20.43055,326.32904999999994,326.32904999999994,6.943,15.810919999999998,9.20265,8.429649999999999,14.941840000000001,3.6075,29.08632,46.91649999999999,49.83670000000001,52.06751,47.53275,51.31031000000001,335.68565,335.68565,18.1902,25.204950000000004,23.731250000000003,35.75954,9.85855,76.8163,16.45394,26.724179999999997,30.391200000000005,25.43283,92.69433000000001,36.312059999999995,417.56933000000004,417.56933000000004,10.915149999999997,14.56653,36.78015,27.650659999999995,68.9385,49.465450000000004,43.369930000000004,16.17975,40.30705,47.67429999999999,22.215700000000002,22.711399999999998,400.77457000000004,10.915149999999997,28.940929999999998,12.242400000000002,14.152569999999997,35.079699999999995,38.370799999999996,23.453449999999997,34.989990000000006,5.68808,7.49227,10.169720000000002,22.041390000000003,19.466330000000003,252.08763000000002,28.940929999999998,7.1216099999999996,7.1216099999999996,-34.75481326413286,-75.39260141260145,0.4187410487141282
