--- 01-Wholesale.csv ---

Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2018,2019,,"% Change 4th  week December 2019, compared to:",
Sinhala Name,,Common Name, 4thWeek December, 3rd Week December, 4thWeek December,Last week ,Last Year
1,තෝරා,Seer (Nl),1483.33,1530,1566.67,0.023967320261437955,0.056184395919990936
2,පරව් (ලොකු),Trevally (L),516.67,587.5,540,-0.08085106382978724,0.045154547390016925
3,ගල්මාළු (ලොකු),Rock fish (L),450,550,550,0,0.2222222222222222
4,තලපත්,Sail fish,620,628.86,681.67,0.08397735585026865,0.0994677419354838
5,බලයා,Skipjack tuna,326.67,401.67,387.5,-0.035277715537630434,0.1862123855879021
6,කෙළවල්ලා,Yellowfin tuna,490,550.83,531.67,-0.03478387161193123,0.08504081632653053
7,සාලයා (මට්ට),Sardinella,133.33,203.33,210,0.03280381645600741,0.5750393759843995
8,මෝරා,Sharks,550,556.67,626.67,0.125747750013473,0.1393999999999999
9,හුරුල්ලා,Herrings,296.25,452,450,-0.004424778761061947,0.5189873417721519
10,කුම්බලා,Indian Mackerel,405,505,550,0.0891089108910891,0.35802469135802467
11,කාරල්ලා,Pony fish,136.67,150,143.33,-0.044466666666666585,0.048730518767835115
12,කටුවල්ලා,Katuwalla,130,­,220,­,0.6923076923076923
13,හාල්මැස්සා,Anchovy,­,356.67,300,-0.15888636554798558,­
14,ඉස්සා (M),"Prawns (M) 3""",816.67,911.43,925,0.014888691397035483,0.13264843816964017
15, කොප්පරා,Marlins,827.5,808.33,770,-0.04741875224227734,-0.06948640483383686
16,අලගොඩුවා,Frigate tuna,330,376.67,400,0.06193750497783201,0.21212121212121213
17,ඇටවල්ලා,Atawalla,350,410,466.67,0.138219512195122,0.33334285714285716
18,ඇටිස්සා,Red Bream,587,685,625,-0.08759124087591241,0.06473594548551959
19,බෝල්ලා,Big eye scade,350,405,438,0.08148148148148149,0.25142857142857145
20,ගින්නටි පරව්,Ginnati Paraw,375,651.67,600,-0.07928859698927365,0.6
21,හබරලි,Needle fish,400,442.14,465,0.05170308047224864,0.1625
22,හැඩැල්ලා,Indian Anchovies,725,1100,1150,0.045454545454545456,0.5862068965517241
23,ජීලාවා,Barracuda,557.5,580,700,0.20689655172413793,0.2556053811659193
24,ලින්නා,Indian Scad,247.5,265,309,0.1660377358490566,0.24848484848484848
25,ලේන පරව්,Rainbow Runner,326.67,394.29,432,0.0956402647797306,0.32243548535219024
26,සුද්දා,Threadfin  Bream,430,630,650,0.031746031746031744,0.5116279069767442
27,සූඩයා,White Sardinella,120,144.17,151,0.04737462717625035,0.25833333333333336
28,දැල්ලා,Squids /Cuttle fish,766.67,716.67,825,0.15115743647703972,0.07608227790313961
29,කකුළුවා,Sea Crabs,450,460,475,0.03260869565217391,0.05555555555555555
30,තිලාපියා,Tilapia (M),350,402,374,-0.06965174129353234,0.06857142857142857
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,

--- 02-Retail.csv ---

Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Variety,,,2018,2019,,"% Change 4th week December 2019, compared to:",,,,
Sinhala Name,,Common Name, 4thWeek December, 3rd Week December, 4thWeek December,Last week ,Last Year,,,
1,තෝරා,Seer,1650,1606.67,1660,0.0331928771932008,0.006060606060606061,,,
2,පරව් (ලොකු),Trevally (L),925,1092,1073.33,-0.017097069597069664,0.16035675675675667,,," ,"
3,ගල්මාළු (ලොකු),Rock Fish (L),680,675,777.5,0.15185185185185185,0.14338235294117646,,,
4,තලපත්,Sail fish,1101.67,1097.5,1230,0.12072892938496584,0.11648678823967243,,,
5,බලයා,Skipjack tuna,513.33,613.33,520,-0.15216930526796346,0.012993590867473084,,,
6,කෙළවල්ලා,Yellowfin tuna,940,1006,964,-0.041749502982107355,0.02553191489361702,,,
7,සාලයා (මට්ට),Sardinella,250,360,280,-0.2222222222222222,0.12,,,
8,මෝරා,Shark,720,960,900,-0.0625,0.25,,,
9,හුරුල්ලා,Herrings,394,630,640,0.015873015873015872,0.6243654822335025,,,
10,කුම්බලා,Indian mackerel,549.33,566.67,560,-0.011770518996947005,0.019423661551344288,,,
11,කාරල්ලා,Pony fish,180,160,160,0,-0.1111111111111111,,,
12,කටුවල්ලා,Katuwalla,­,300,300,0,­,,,
13,හාල්මැස්සා,Anchovies,­,560,560,0,­,,,
14,ඉස්සා (M),Prawns (M),885,1264,1220.56,-0.03436708860759498,0.3791638418079095,,,
15, කොප්පරා,Marlins,­,895,895,0,­,,,
16,අලගොඩුවා,Frigate tuna,420,­,480,­,0.14285714285714285,,,
17,ඇටවල්ලා,Kawakawa,440,640,540,-0.15625,0.22727272727272727,,,
18,ඇටිස්සා,Red Bream,693.33,800,840,0.05,0.211544286270607,,,
19,බෝල්ලා,Big eye scade,380,425,476,0.12,0.25263157894736843,,,
20,ගින්නටි පරව්,Ginnati paraw,960,840,960,0.14285714285714285,0,,,
21,හබරලි,Needle fish,485,700,620,-0.11428571428571428,0.27835051546391754,,,
22,හැඩැල්ලා,Indian Anchovy,780,1200,1300,0.08333333333333333,0.6666666666666666,,,
23,ජීලාවා,Barracuda,750,720,880,0.2222222222222222,0.17333333333333334,,,
24,ලින්නා,Indian Scade,355,343,438,0.27696793002915454,0.23380281690140844,,,
25,ලේන පරව්,Rainbow runner,506.67,586.67,760,0.29544718495917643,0.49999013164387074,,,
26,සුද්දා,Threadfin bream,550,766.67,706.67,-0.07826052930204652,0.28485454545454536,,,
27,සූඩයා,White Sardinella,­,280,217,-0.225,­,,,
28,දැල්ලා,Cuttle fish,833.33,1000,960,-0.04,0.15200460801843202,,,
29,කකුළුවා,Sea Crabs,1050,1250,1300,0.04,0.23809523809523808,,,
30,තිලාපියා,Thilapia (M),­,525,465,-0.11428571428571428,­,,,
"* Selected Markets - Wellampitiya,  Battaramulla, Dematagoda,  Nugegoda,  Kirulapana,                     Maharagama  ",,,,,,,,,,
