"Table 3.2 :  Operating Fishing Boats by District - 2019","","","","","","","",""
"","Fisheries District","IMUL","IDAY","OFRP","MTRB","NTRB","NBSB","Total Boats"
"1","Negombo","","31","","","","",""
"","","854","","1,576","56","1,271","35","3,823"
"2","Colombo","","28","","","","",""
"","","58","","447","1","292","25","851"
"3","Kalutara","","4","","","","",""
"","","400","","390","12","240","40","1,086"
"4","Galle","","20","","","","",""
"","","664","","368","194","222","49","1,517"
"5","Matara","","74","","","","",""
"","","920","","756","232","603","7","2,592"
"6","Tangalle","","13","","","","",""
"","","722","","853","120","682","105","2,495"
"7","Kalmunai","","71","","","","",""
"","","145","","845","170","837","194","2,262"
"8","Batticaloa","","18","","","","",""
"","","340","","1,438","13","4,359","176","6,344"
"9","Trincomalee","","12","","","","",""
"","","486","","3,540","21","1,925","159","6,143"
"10","Mullaitivu","","","","","","",""
"","","1","","1,072","","238","39","1,350"
"11","Kilinochchi","","1","","","","",""
"","","1","","730","78","225","","1,035"
"12","Jaffna","","468","","","","",""
"","","105","","4,076","596","1,880","209","7,334"
"13","Mannar","","208","","","","",""
"","","41","","3,098","460","781","18","4,606"
"14","Puttalam","","","","","","",""
"","","75","","2,525","176","1,198","103","4,077"
"15","Chilaw","","","","","","",""
"","","73","","1,690","11","1,559","128","3,461"
"","Total","4,885","948","23,404","2,140","16,312","1,287","48,976"
