--- 01-Wholesale.csv ---

Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
20,ගින්නටි පරව්,Ginnati Paraw,536.67,561,516.67,-0.07901960784313733,-0.03726684927422811
21,හබරලි,Needle fish,415,572.5,497.14,-0.1316331877729258,0.19792771084337346
22,හැඩැල්ලා,Indian Anchovies,796.67,850,­,­,­
23,ජීලාවා,Barracuda,536.67,700,634,-0.09428571428571429,0.1813591219930312
24,ලින්නා,Indian Scad,217.5,428.75,349.17,-0.1856093294460641,0.6053793103448276
25,ලේන පරව්,Rainbow Runner,297,440,348,-0.20909090909090908,0.1717171717171717
26,සුද්දා,Threadfin  Bream,458.75,­,573.33,­,0.24976566757493196
27,සූඩයා,White Sardinella,98,155,122.86,-0.2073548387096774,0.2536734693877551
28,දැල්ලා,Squids /Cuttle fish,750,751.67,682.14,-0.09250069844479622,-0.09048000000000002
29,කකුළුවා,Sea Crabs,491.67,440,528.57,0.20129545454545467,0.07505033864177199
30,තිලාපියා,Tilapia (M),390,376.67,394,0.046008442403164526,0.010256410256410256
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,

--- 02-Retail.csv ---

Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2019,2020,,"% Change 1st week February 2020, compared to:",
Sinhala Name,,Common Name,1st week February,4th Week January ,1st week February,Last week ,Last Year
1,තෝරා,Seer,1465,1544,1482,-0.04015544041450777,0.011604095563139932
2,පරව් (ලොකු),Trevally (L),1080,­,1038,­,-0.03888888888888889
3,ගල්මාළු (ලොකු),Rock Fish (L),720,960,760,-0.20833333333333334,0.05555555555555555
4,තලපත්,Sail fish,1126.67,1128,1150,0.01950354609929078,0.020707039328285944
5,බලයා,Skipjack tuna,607.5,695,600,-0.1366906474820144,-0.012345679012345678
6,කෙළවල්ලා,Yellowfin tuna,976.67,1066,934,-0.12382739212007504,-0.043689270685082944
7,සාලයා (මට්ට),Sardinella,240,284,237,-0.16549295774647887,-0.0125
8,මෝරා,Shark,835,960,940,-0.020833333333333332,0.12574850299401197
9,හුරුල්ලා,Herrings,460,666.67,720,0.07999460002699993,0.5652173913043478
10,කුම්බලා,Indian mackerel,603.33,620,627,0.01129032258064516,0.0392322609517179
11,කාරල්ලා,Pony fish,160,180,264,0.4666666666666667,0.65
12,කටුවල්ලා,Katuwalla,180,400,220,-0.45,0.2222222222222222
13,හාල්මැස්සා,Anchovies,390,400,548,0.37,0.40512820512820513
14,ඉස්සා (M),Prawns (M),1032,1060,1264,0.19245283018867926,0.2248062015503876
15, කොප්පරා,Marlins,960,895,895,0,-0.06770833333333333
16,අලගොඩුවා,Frigate tuna,355,520,400,-0.23076923076923078,0.1267605633802817
17,ඇටවල්ලා,Kawakawa,375,580,487,-0.16034482758620688,0.2986666666666667
18,ඇටිස්සා,Red Bream,700,860,960,0.11627906976744186,0.37142857142857144
19,බෝල්ලා,Big eye scade,411.67,560,487,-0.13035714285714287,0.18298637257997907
20,ගින්නටි පරව්,Ginnati paraw,800,780,­,­,­
21,හබරලි,Needle fish,760,­,640,­,-0.15789473684210525
22,හැඩැල්ලා,Indian Anchovy,970,­,­,­,­
23,ජීලාවා,Barracuda,651.67,682.5,824,0.20732600732600734,0.26444366013473086
24,ලින්නා,Indian Scade,332,503.33,476,-0.054298372836906174,0.43373493975903615
25,ලේන පරව්,Rainbow runner,560,640,720,0.125,0.2857142857142857
26,සුද්දා,Threadfin bream,680,600,688,0.14666666666666667,0.011764705882352941
27,සූඩයා,White Sardinella,150,­,160,­,0.06666666666666667
28,දැල්ලා,Cuttle fish,780,960,880,-0.08333333333333333,0.1282051282051282
29,කකුළුවා,Sea Crabs,800,1300,1600,0.23076923076923078,1
30,තිලාපියා,Thilapia (M),520,460,510,0.10869565217391304,-0.019230769230769232
"* Selected Markets - Wellampitiya,  Battaramulla, Dematagoda,  Nugegoda,  Kirulapana,                     Maharagama  ",,,,,,,
