--- 01-Wholesale.csv ---

Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2018,2019,,"% Change 04th week January 2019, compared to:",
Sinhala Name,,Common Name, 4th Week January, 3rd Week January, 4th Week January,Last week ,Last Year
1,තෝරා,Seer (Nl),1060,1620.83,1685.71,0.04002887409537096,0.5902924528301887
2,පරව් (ලොකු),Trevally (L),554,568,608.33,0.07100352112676063,0.0980685920577618
3,ගල්මාළු (ලොකු),Rock fish (L),650,450,550,0.2222222222222222,-0.15384615384615385
4,තලපත්,Sail fish,620,621,628,0.011272141706924315,0.012903225806451613
5,බලයා,Skipjack tuna,290,273.75,280.83,0.025863013698630078,-0.031620689655172465
6,කෙළවල්ලා,Yellowfin tuna,558,652,587.86,-0.09837423312883434,0.05351254480286741
7,සාලයා (මට්ට),Sardinella,122,126,128.57,0.020396825396825344,0.053852459016393385
8,මෝරා,Sharks,552,545,558.33,0.02445871559633035,0.0114673913043479
9,හුරුල්ලා,Herrings,290,270,264.29,-0.021148148148148072,-0.08865517241379303
10,කුම්බලා,Indian Mackerel,284,472,422.14,-0.10563559322033901,0.4864084507042253
11,කාරල්ලා,Pony fish,100,155,132.86,-0.14283870967741927,0.3286000000000001
12,කටුවල්ලා,Katuwalla,232,350,262.5,-0.25,0.1314655172413793
13,හාල්මැස්සා,Anchovy,318,­,250,­,-0.2138364779874214
14,ඉස්සා (M),"Prawns (M) 3""",1000,816,838.33,0.027365196078431422,-0.16166999999999995
15, කොප්පරා,Marlins,770,814,822.5,0.010442260442260442,0.06818181818181818
16,අලගොඩුවා,Frigate tuna,260,245,227.5,-0.07142857142857142,-0.125
17,ඇටවල්ලා,Atawalla,300,265,295,0.11320754716981132,-0.016666666666666666
18,ඇටිස්සා,Red Bream,600,655,700,0.06870229007633588,0.16666666666666666
19,බෝල්ලා,Big eye scade,264,438,360,-0.1780821917808219,0.36363636363636365
20,ගින්නටි පරව්,Ginnati Paraw,562,537.5,566.67,0.05426976744186039,0.008309608540925195
21,හබරලි,Needle fish,422,431,427.14,-0.008955916473317897,0.012180094786729826
22,හැඩැල්ලා,Indian Anchovies,845,837.5,785.71,-0.06183880597014921,-0.07016568047337274
23,ජීලාවා,Barracuda,515,600,613.33,0.022216666666666735,0.19093203883495152
24,ලින්නා,Indian Scad,246,234,209.29,-0.10559829059829064,-0.1492276422764228
25,ලේන පරව්,Rainbow Runner,298,312.5,287.86,-0.07884799999999996,-0.03402684563758385
26,සුද්දා,Threadfin  Bream,434,473.33,516.67,0.09156402509876825,0.19048387096774183
27,සූඩයා,White Sardinella,58,103.75,108.33,0.044144578313253,0.8677586206896551
28,දැල්ලා,Squids /Cuttle fish,790,600,792.14,0.3202333333333333,0.0027088607594936537
29,කකුළුවා,Sea Crabs,412.5,509,560,0.10019646365422397,0.3575757575757576
30,තිලාපියා,Tilapia (M),340,400,382.5,-0.04375,0.125
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,

--- 02-Retail.csv ---

Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2018,2019,,"% Change 04th week January 2019, compared to:",
Sinhala Name,,Common Name, 4th Week January, 3rd  Week January, 4th Week January,Last week ,Last Year
1,තෝරා,Seer,1437,1885,1766.67,-0.06277453580901853,0.2294154488517746
2,පරව් (ලොකු),Trevally (L),1040,1068,1150,0.07677902621722846,0.10576923076923077
3,ගල්මාළු (ලොකු),Rock Fish (L),680,960,­,­,­
4,තලපත්,Sail fish,1095,1105,1117.5,0.011312217194570135,0.02054794520547945
5,බලයා,Skipjack tuna,720,655,675,0.030534351145038167,-0.0625
6,කෙළවල්ලා,Yellowfin tuna,975,941.67,997.78,0.05958562978538131,0.023364102564102537
7,සාලයා (මට්ට),Sardinella,180,245,200,-0.1836734693877551,0.1111111111111111
8,මෝරා,Shark,733,840,775,-0.07738095238095238,0.0572987721691678
9,හුරුල්ලා,Herrings,413,401.67,410,0.02073841710857167,-0.007263922518159807
10,කුම්බලා,Indian mackerel,434,580,536,-0.07586206896551724,0.2350230414746544
11,කාරල්ලා,Pony fish,180,160,180,0.125,0
12,කටුවල්ලා,Katuwalla,440,­,560,­,0.2727272727272727
13,හාල්මැස්සා,Anchovies,400,­,­,­,­
14,ඉස්සා (M),Prawns (M),1163,1090,1105,0.013761467889908258,-0.04987102321582115
15, කොප්පරා,Marlins,790,890,950,0.06741573033707865,0.20253164556962025
16,අලගොඩුවා,Frigate tuna,360,370,380,0.02702702702702703,0.05555555555555555
17,ඇටවල්ලා,Kawakawa,360,360,330,-0.08333333333333333,-0.08333333333333333
18,ඇටිස්සා,Red Bream,680,706.67,770,0.08961750180423683,0.1323529411764706
19,බෝල්ලා,Big eye scade,373,473.33,382.5,-0.19189571757547585,0.02546916890080429
20,ගින්නටි පරව්,Ginnati paraw,760,840,650,-0.2261904761904762,-0.14473684210526316
21,හබරලි,Needle fish,520,575,546.67,-0.04926956521739138,0.051288461538461456
22,හැඩැල්ලා,Indian Anchovy,910,960,946.67,-0.013885416666666709,0.04029670329670325
23,ජීලාවා,Barracuda,690,750,811.67,0.08222666666666661,0.1763333333333333
24,ලින්නා,Indian Scade,347,384,337.5,-0.12109375,-0.027377521613832854
25,ලේන පරව්,Rainbow runner,400,433.33,410,-0.05383887568365907,0.025
26,සුද්දා,Threadfin bream,550,760,640,-0.15789473684210525,0.16363636363636364
27,සූඩයා,White Sardinella,350,­,­,­,­
28,දැල්ලා,Cuttle fish,800,826.67,826.67,0,0.03333749999999995
29,කකුළුවා,Sea Crabs,800,800,820,0.025,0.025
30,තිලාපියා,Thilapia (M),­,485,505,0.041237113402061855,­
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,
Maharagama and Dematagoda fish markets.,,,440,,,,
